iter	MAE	RMSE
0	8.064786508	11.20770816
1	7.979625064	11.06716678
2	7.888814054	10.92712675
3	7.80484206	10.80367328
4	7.713800618	10.66557517
5	7.653646237	10.56596089
6	7.590616878	10.46767087
7	7.518269596	10.35348389
8	7.449761123	10.24682062
9	7.384468663	10.14995409
10	7.325849137	10.06608802
11	7.272128843	9.983873974
12	7.209390126	9.891459072
13	7.146044914	9.799649946
14	7.096492263	9.716587781
15	7.054291145	9.645196716
16	7.009271941	9.573383631
17	6.967903864	9.505091171
18	6.925181616	9.442819313
19	6.874387168	9.363801137
20	6.840033696	9.305091758
21	6.801178039	9.244395336
22	6.763896929	9.185128403
23	6.724851247	9.124829241
24	6.682273523	9.059371342
25	6.639416592	8.995459567
26	6.606444349	8.942827032
27	6.569401299	8.884302904
28	6.532185393	8.829209724
29	6.497717435	8.773723854
30	6.459075346	8.718067285
31	6.427511645	8.668116616
32	6.393432855	8.619917927
33	6.364288224	8.573943692
34	6.334537225	8.532876677
35	6.31797259	8.501827562
36	6.292794298	8.458067533
37	6.262873033	8.416171149
38	6.232139168	8.36930137
39	6.201030506	8.322442624
40	6.174141563	8.281897861
41	6.154846729	8.252709007
42	6.135298149	8.222754492
43	6.10842307	8.181865202
44	6.087863581	8.15146602
45	6.058193583	8.111631504
46	6.040538539	8.084202736
47	6.018731088	8.053686472
48	5.999404887	8.026081697
49	5.977048776	7.991003004
50	5.959465458	7.963617392
51	5.947706002	7.948408605
52	5.922979099	7.910166242
53	5.909028421	7.885707057
54	5.897314006	7.866969077
55	5.880351073	7.840810728
56	5.866012343	7.817545371
57	5.842294004	7.785713795
58	5.822062162	7.756198345
59	5.802329988	7.728669088
60	5.78618053	7.709005259
61	5.767988449	7.68007672
62	5.750585747	7.6566842
63	5.733035483	7.633093338
64	5.710777136	7.605858796
65	5.697754962	7.58338174
66	5.672758992	7.55030331
67	5.659945196	7.531257568
68	5.655000615	7.524430936
69	5.643245209	7.505926112
70	5.635587339	7.49205866
71	5.628694163	7.482651145
72	5.611598564	7.461325746
73	5.596138715	7.440389946
74	5.578306809	7.414914307
75	5.571524616	7.403085388
76	5.555091631	7.38007577
77	5.535584273	7.354763748
78	5.52391871	7.337296045
79	5.509856389	7.316900465
80	5.491827897	7.292879405
81	5.477287065	7.275079075
82	5.462185261	7.254895263
83	5.447165249	7.234179785
84	5.430073046	7.212885167
85	5.423138245	7.202058293
86	5.415086973	7.189454251
87	5.410221573	7.181679828
88	5.400134954	7.165805694
89	5.38658214	7.147952008
90	5.371152945	7.129814192
91	5.366089806	7.121627244
92	5.355719737	7.107111834
93	5.351346042	7.100655719
94	5.336058284	7.080086508
95	5.327345752	7.066751082
96	5.321434198	7.058865449
97	5.317663841	7.052751933
98	5.309448231	7.039585085
99	5.305672255	7.033194267
100	5.291617869	7.014641224
101	5.286424247	7.006861959
102	5.272261464	6.988281035
103	5.261576229	6.971752856
104	5.244857616	6.950528586
105	5.232550213	6.932765128
106	5.221175772	6.917405108
107	5.210867863	6.902016825
108	5.210047702	6.900717533
109	5.199566357	6.887817877
110	5.191879274	6.877548505
111	5.187398972	6.870244958
112	5.166819077	6.843454476
113	5.155911618	6.829640141
114	5.142630916	6.812167359
115	5.128180826	6.792473628
116	5.125837983	6.788739361
117	5.10888194	6.766582349
118	5.102573545	6.757452769
119	5.09438105	6.746555257
120	5.081771702	6.730170515
121	5.080268852	6.728229348
122	5.075196973	6.721818973
123	5.067616738	6.712336124
124	5.064671693	6.708177323
125	5.059552977	6.70034567
126	5.054306635	6.692335028
127	5.051067358	6.687969262
128	5.041926232	6.675529042
129	5.036831076	6.667362735
130	5.027456284	6.655882066
131	5.016040624	6.64084462
132	4.997802187	6.616402217
133	4.987909462	6.604121231
134	4.973011423	6.584925438
135	4.961171042	6.569653808
136	4.954140254	6.559545012
137	4.946080429	6.548110721
138	4.941784914	6.542143695
139	4.927076909	6.525154855
140	4.916644857	6.512056636
141	4.907378905	6.496711153
142	4.905432068	6.493204607
143	4.901729795	6.486316984
144	4.890794989	6.469621352
145	4.884378197	6.4593733
146	4.878132908	6.449761368
147	4.875722786	6.445702911
148	4.867461211	6.433064801
149	4.858711769	6.420581116
150	4.841874853	6.398983624
151	4.829959634	6.382174132
152	4.822894897	6.372281071
153	4.808499127	6.352847035
154	4.80276564	6.344015224
155	4.797323719	6.335743956
156	4.789220494	6.324024558
157	4.779858191	6.310317565
158	4.772261111	6.299190774
159	4.768871142	6.293583131
160	4.76029387	6.283852464
161	4.753549806	6.274795661
162	4.739700132	6.255266967
163	4.729570671	6.242615617
164	4.714858305	6.223432934
165	4.713300213	6.220273478
166	4.709207604	6.214042555
167	4.707919337	6.211689045
168	4.696741756	6.195360625
169	4.694032959	6.191155929
170	4.692252139	6.188601646
171	4.678911035	6.168458861
172	4.666749344	6.151778789
173	4.660171084	6.142003415
174	4.647627121	6.123595375
175	4.640396036	6.113708655
176	4.628976155	6.098371494
177	4.626857668	6.095093373
178	4.624923592	6.092048053
179	4.614620947	6.077515368
180	4.608419288	6.069142566
181	4.600308378	6.054914694
182	4.589346968	6.040434211
183	4.576574938	6.022633635
184	4.562558146	6.006340525
185	4.557144188	5.999057656
186	4.550940175	5.9908797
187	4.54755905	5.98576002
188	4.535827459	5.969942969
189	4.521838666	5.951913064
190	4.519093682	5.948142736
191	4.504814247	5.927904242
192	4.496595202	5.917584672
193	4.485767009	5.900971183
194	4.475655503	5.885798495
195	4.473816239	5.882189242
196	4.460766797	5.866618209
197	4.451270578	5.851804535
198	4.439178101	5.83844048
199	4.42346773	5.816946819
200	4.41734318	5.808717653
201	4.414917175	5.804924965
202	4.409044136	5.795685029
203	4.396823322	5.78163734
204	4.38603139	5.766333837
205	4.372410949	5.747856188
206	4.3647275	5.736221475
207	4.36323128	5.734338532
208	4.361262619	5.731324768
209	4.358488102	5.726868773
210	4.353848347	5.721071991
211	4.352208248	5.718561321
212	4.340401239	5.701140402
213	4.33602996	5.694402588
214	4.324790593	5.679729974
215	4.323385329	5.677614839
216	4.321189283	5.673931801
217	4.31440819	5.664901041
218	4.311728364	5.661130469
219	4.310243086	5.658307308
220	4.298478104	5.643867292
221	4.285745835	5.625715765
222	4.283796949	5.622733373
223	4.281584344	5.619063427
224	4.274339266	5.608730826
225	4.257283826	5.586476254
226	4.242164985	5.567262582
227	4.24077162	5.565007724
228	4.231745674	5.55146185
229	4.230458504	5.549590654
230	4.227837803	5.545666982
231	4.218023742	5.531133127
232	4.217127324	5.529579515
233	4.215296448	5.527042049
234	4.202482477	5.509222318
235	4.200418482	5.506075435
236	4.195244102	5.498046436
237	4.19364515	5.495358432
238	4.191194822	5.492330871
239	4.176040851	5.47350459
240	4.175140583	5.471638618
241	4.173243299	5.468583207
242	4.171926486	5.466276969
243	4.161916172	5.452322348
244	4.16049498	5.450122839
245	4.150730029	5.436742303
246	4.138270559	5.419763392
247	4.136905495	5.417498793
248	4.134590632	5.414215545
249	4.133136538	5.411594585
250	4.131548821	5.409124599
251	4.118451816	5.390559589
252	4.11814093	5.390134292
253	4.107980894	5.376011829
254	4.106874264	5.374724321
255	4.094877214	5.358112288
256	4.084023592	5.342947478
257	4.071869762	5.327910783
258	4.064651254	5.318728755
259	4.063300432	5.316665684
260	4.055142224	5.305569253
261	4.054858758	5.305150002
262	4.045173018	5.292010958
263	4.04159482	5.288141726
264	4.031003311	5.275315277
265	4.019019059	5.258823361
266	4.010438046	5.247151438
267	4.010261239	5.246830499
268	4.004601411	5.238813671
269	3.993784295	5.224444483
270	3.981490423	5.209007966
271	3.971044403	5.195130693
272	3.97087444	5.194815122
273	3.968817208	5.192202562
274	3.956024751	5.174960252
275	3.955582249	5.174325573
276	3.953755685	5.172014847
277	3.944651837	5.161322214
278	3.944331719	5.160755004
279	3.943464455	5.159817228
280	3.943206305	5.159447604
281	3.942801106	5.15897773
282	3.942500322	5.158559657
283	3.933665302	5.146879249
284	3.924125422	5.135437262
285	3.917786827	5.127068508
286	3.908410381	5.11588121
287	3.899906774	5.104058415
288	3.892970664	5.09328222
289	3.888815006	5.086743037
290	3.888371428	5.086186329
291	3.885970334	5.083284697
292	3.878696636	5.072716607
293	3.87196512	5.063817164
294	3.871752131	5.063486109
295	3.863185188	5.049828068
296	3.855174335	5.037718637
297	3.845922245	5.025981884
298	3.845722716	5.025667487
299	3.836720753	5.014687202
300	3.836329201	5.014144313
301	3.82837576	5.004106234
302	3.820542522	4.992684643
303	3.811220102	4.980155927
304	3.798931464	4.963869599
305	3.787518744	4.949470859
306	3.787226102	4.949008117
307	3.782503626	4.94195062
308	3.781814334	4.940765542
309	3.774812527	4.932650373
310	3.774295273	4.931952119
311	3.766539054	4.921616046
312	3.759605665	4.912619075
313	3.758291733	4.91090835
314	3.751794585	4.901932335
315	3.749603348	4.89851422
316	3.74109272	4.887366828
317	3.740892597	4.887104977
318	3.732916523	4.876772302
319	3.721225315	4.861315836
320	3.716171694	4.853424762
321	3.710203513	4.845272851
322	3.704435101	4.837110655
323	3.694897753	4.824877108
324	3.69452156	4.824499163
325	3.686119915	4.813667601
326	3.678971906	4.803805066
327	3.673478882	4.796048842
328	3.664322828	4.784413551
329	3.653022895	4.767754524
330	3.647376756	4.760248265
331	3.640981216	4.752799322
