iter	Passed	Remaining
0	114	114467
1	193	96775
2	325	108247
3	431	107561
4	566	112788
5	679	112580
6	848	120319
7	954	118319
8	1071	117975
9	1227	121513
10	1309	117770
11	1435	118173
12	1555	118082
13	1643	115752
14	1741	114390
15	1857	114236
16	1975	114210
17	2059	112331
18	2148	110938
19	2238	109679
20	2356	109848
21	2403	106853
22	2531	107554
23	2639	107349
24	2737	106748
25	2852	106849
26	3000	108118
27	3130	108670
28	3249	108816
29	3377	109216
30	3492	109156
31	3586	108491
32	3709	108691
33	3838	109051
34	3944	108756
35	4015	107529
36	4152	108067
37	4235	107225
38	4361	107481
39	4448	106754
40	4561	106695
41	4573	104319
42	4677	104098
43	4727	102710
44	4838	102675
45	4922	102094
46	5008	101547
47	5109	101330
48	5182	100585
49	5290	100514
50	5356	99665
51	5428	98968
52	5541	99009
53	5614	98353
54	5689	97749
55	5775	97358
56	5835	96536
57	5908	95962
58	5989	95523
59	6072	95131
60	6162	94862
61	6225	94183
62	6291	93579
63	6382	93342
64	6472	93103
65	6576	93070
66	6674	92942
67	6739	92374
68	6819	92013
69	6908	91779
70	6974	91262
71	7051	90885
72	7193	91346
73	7280	91105
74	7384	91070
75	7474	90872
76	7529	90255
77	7606	89911
78	7685	89603
79	7783	89509
80	7854	89117
81	7995	89505
82	8079	89268
83	8165	89042
84	8262	88939
85	8324	88472
86	8403	88192
87	8473	87820
88	8554	87558
89	8617	87136
90	8707	86977
91	8773	86592
92	8850	86316
93	8914	85922
94	8999	85733
95	9070	85417
96	9151	85191
97	9217	84836
98	9291	84564
99	9365	84293
100	9445	84076
101	9502	83661
102	9592	83537
103	9680	83399
104	9721	82867
105	9803	82682
106	9861	82299
107	9917	81913
108	9930	81173
109	9993	80852
110	10080	80734
111	10140	80400
112	10238	80363
113	10316	80179
114	10407	80092
115	10486	79913
116	10570	79771
117	10636	79504
118	10729	79431
119	10820	79351
120	10900	79184
121	10902	78465
122	10994	78394
123	11085	78311
124	11142	77998
125	11224	77861
126	11288	77594
127	11390	77599
128	11476	77490
129	11568	77421
130	11625	77121
131	11686	76847
132	11785	76830
133	11884	76807
134	11970	76697
135	12052	76568
136	12132	76426
137	12186	76124
138	12250	75879
139	12344	75832
140	12413	75628
141	12470	75348
142	12527	75074
143	12596	74878
144	12659	74645
145	12692	74243
146	12758	74031
147	12803	73704
148	12860	73448
149	12950	73386
150	13028	73251
151	13107	73123
152	13166	72888
153	13241	72744
154	13321	72624
155	13380	72392
156	13456	72253
157	13509	71991
158	13593	71899
159	13677	71807
160	13748	71645
161	13819	71486
162	13879	71269
163	13933	71024
164	13988	70789
165	14072	70702
166	14152	70591
167	14215	70401
168	14288	70256
169	14358	70103
170	14437	69990
171	14524	69919
172	14602	69802
173	14688	69727
174	14798	69766
175	14877	69656
176	14942	69476
177	15025	69388
178	15091	69217
179	15194	69219
180	15266	69079
181	15348	68982
182	15413	68811
183	15519	68826
184	15595	68704
185	15673	68593
186	15754	68495
187	15859	68500
188	15925	68337
189	16045	68404
190	16156	68430
191	16248	68377
192	16346	68348
193	16444	68319
194	16559	68362
195	16631	68223
196	16701	68078
197	16783	67982
198	16868	67896
199	16935	67741
200	17002	67587
201	17086	67500
202	17172	67419
203	17262	67357
204	17337	67235
205	17436	67207
206	17508	67075
207	17589	66974
208	17676	66901
209	17751	66780
210	17854	66762
211	17934	66662
212	17981	66437
213	18074	66384
214	18161	66309
215	18269	66310
216	18354	66226
217	18452	66190
218	18525	66064
219	18604	65960
220	18738	66050
221	18847	66052
222	18942	66001
223	19015	65875
224	19163	66008
225	19298	66091
226	19453	66246
227	19552	66202
228	19634	66105
229	19706	65975
230	19785	65864
231	19839	65674
232	19891	65480
233	19965	65355
234	20030	65206
235	20105	65087
236	20173	64945
237	20263	64877
238	20343	64776
